company,founder,dateFounded,description,ugArea,ug,gArea,g,disciplines,degreeYear,exit,exitDetails,category,skyDeck
Copilot Labs,David Amusin,2010,owns and operates an online portal that provides point-of-sale connected marketing intelligence information to restaurants.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2005)",2005,not yet,,Hospitality/Food,
Copilot Labs,Nathaniel Chait,2010,owns and operates an online portal that provides point-of-sale connected marketing intelligence information to restaurants.,Business,Business Administration,none,none,"BS, Business Administration (2010)",2010,not yet,,Hospitality/Food,
CouchSurfing International,Sebastien Le Tuan,2003,"is a hospitality exchange and social networking website. The website provides a platform for members to ""surf"" on couches by staying as a guest at a host's home, host travelers, or join an event.",Bio Sciences,Cognitive Science,none,none," BS, Cognitive Science (1998)",1998,yes,Acquired by Better World Through Travel in 2011,Hospitality/Food,
CrowdMob,Alex Han,2010,is a programatic user acquisition platform for growth hackers on mobile. It aims to help mobile publishers find underpriced inventory and users via RTB.,Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies (2010)",2010,not yet,,Mobile/Wireless,
Crowdrally,Andy Chen,2010,"brings organic brand endorsements to social influencers, so they can get paid without selling out.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2007)",2007,not yet,,Advertising,
Crowdrally,Evan Kuo,2010,"brings organic brand endorsements to social influencers, so they can get paid without selling out.",Engineering,Engineering,none,none,"BS, Engineering - Robotics (2006)",2006,not yet,,Advertising,
Cuyana,Shilpa Shah,2013,"is an online fashion brand that believes in fewer, better things. We create apparel and accessories, designed with a classic, modern aesthetic, sourced from the world's highest quality materials and crafted to last a lifetime.",Engineering,Computer Science,business,Business Administration,BA HCI / Computer Science (2000); MBA (2012),2012,not yet,,eCommerce,
DailyLook,Brian Ree,2011,is the only premium fast fashion brand that gives you a true styling experience,Business,Business Administration,none,none,"BS, Business Administration (2001)",2001,not yet,,Fashion/Clothing,
Daring Software,Manish Vij,2011,analyzes ratings from millions of shoppers. Our Arro app allows you to see your best choice instantly. ,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (1994)",1994,not yet,,Mobile/Wireless,
Daring Software,Sekhar Narayanaswami,2011,analyzes ratings from millions of shoppers. Our Arro app allows you to see your best choice instantly. ,Engineering,Electrical Engineering and Computer Science,none,Electrical Engineering and Computer Science,"BS (1993), MS (1998), PhD (2001) Electrical Engineering and Computer Science",2001,not yet,,Mobile/Wireless,
Datri Health,Thea Runyan,2013,(a.k.a. Kurbo Health) is creating mobile and web-based tools for children and their families to fight childhood weight problems.,Social Sciences,Medical Anthropology,none,none,"BA, Medical Anthropology (1994)",1994,not yet,,Health/Fitness,
Dealflicks,Kevin Hong,2011,"is like Priceline.com, but for movie theaters. ",Business,Business Administration,none,none,"BS, Business Administration (2007)",2007,not yet,,Consumer Web,
Dealflicks,Sean Wycliffe,2011,"is like Priceline.com, but for movie theaters. ",Social Sciences,Economics,none,none,"BA, Economics (2010)",2010,not yet,,Consumer Web,
Distill,Deng-Kai Chen,2012,strives to take the pain out of hiring and recruiting with hiring tools to maximize candidate screening and interview processes.,Business,Business Administration,none,none,"BS, Business Administration / BA, Political Science (2007)",2007,yes,Acquired by Yahoo in 2014,Enterprise,
EasyPost,Jarrett Streebin,2012,"is a simple shipping API that allows users to buy postage labels, check rates, verify an address, track your shipments, and more with USPS, UPS, and FedEx.",Bio Sciences,Molecular and Cell Biology,none,none,"BA, Near Eastern Studies (2009)",2009,not yet,,eCommerce,
