company,founder,dateFounded,description,ugArea,ug,gArea,g,disciplines,degreeYear,exit,exitDetails,category,skyDeck
Reesio,Jonathan Mui,2012,"brings real estate transactions online, in a modern web-based system designed for brokers, transaction coordinators, and agents.",Engineering,Computer Science,none,none,"BA, Computer Science (2011)",2011,not yet,,Real Estate,
Ridejoy,Randy Pang,2011,"is a community-driven marketplace for sharing rides.
We're making it easy to share rides with friendly people. If you're going on a trip, you can list extra seat space in your car, and if you need to get somewhere, you can find a ride, using our service.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2009)",2009,not yet,,Transportation,
Rockbot,Ketu Patel,2010,(formerly Roqbot) is a new social music platform for businesses.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2003)",2003,not yet,,Mobile/Wireless,
Rumble Entertainment,Greg Richardson,2011,creates the most engaging and fulfilling online game experiences on the planet.,Social Sciences,Political Science,none,none,"BA, Political Science (1989)",1989,not yet,,Games/Entertainment,
Scripted,Ryan Buckley,2011,"provides freelance writing services for small businesses. Scripted has a pool of 80,000 writers, who have been vetted by area of expertise.",Social Sciences,Economics,none,none,"BA, Economics; BS, Environmental Sciences (2004)",2004,not yet,,eCommerce,
SharesPost,Greg Brogger,2009,is a specialist in the private securities market.,unknown,unknown,none,none,BA (1990),1990,not yet,,eCommerce,
ShopBevel,Courtney McColgan,2012,is a community of makers working together to make great jewelry.,Social Sciences,Economics,none,none,"BA, Chinese & Economics (2006)",2006,yes,Acquired by ETS in 2014,eCommerce,
ShortForm,Nader Ghaffari,2010,"is a video curation, distribution, and monetization platform.",Engineering,Industrial Engineering and Operations Research,business,Business Administration,"BS, Industrial Engineering and Operations Research (1997);  MBA (2007)",2007,not yet,,Enterprise,
Skytree,Alexander Gray,2012,"(The Machine Learning Company) gives organizations the power to discover deep analytic insights, predict future trends, make recommendations and reveal untapped markets and customers. ",Math & Physical Sciences,Applied Mathematics,none,none,"AB, Applied Mathematics / Computer Science (1993)",1993,not yet,,Analytics/Big Data,
SocMetrics,Rebecca Xiong,2012,"is a web-based, self-service platform that helps identify influencers and advocates for a business to increase buzz.",Engineering,Computer Science,none,none,"BS, Computer Science (1994)",1994,not yet,,Advertising,
SourceTrace Systems,Sandeep Chatterjee,2010,"is the leading independent provider of remote transaction solutions for financial service, agriculture, healthcare, microinsurance and clean water providers and organizations operating in emerging markets.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (1995)",1995,not yet,,Finance/Venture,
SpoonRocket,Anson Tsui,2013,"makes food of the highest and freshest quality available and accessible to everyone, all the time.",Engineering,Electrical Engineering,none,none,"BS, Electrical Engineering (2009)",2009,not yet,,Hospitality/Food,
Spotsetter,Johnny Lee,,is a geo-relevant social search company.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (1999)",1999,not yet,,Social Networking,
Stockr,Vinny Jindal,2010,is a social media platform for the financial world that connects investors directly to the people and companies they want to follow.,Bio Sciences,Integrative Biology,none,none,"BA, Integrative Biology (1999)",1999,not yet,,Finance/Venture,
StrongLoop,Albert Tsang,2013,"develops StrongLoop Suite, a leading Mobile API Tier along with being the primary code contributor to Node.js.",Social Sciences,Economics,none,none,"BA, Economics (1995)",1995,not yet,,Software,
StyleUp,Ryan Choi,2013,"adds a layer of personalization to fashion media, channeling content that is relevant to a woman's taste.",Engineering,Computer Science,none,none,"BA, Computer Science (2000)",2000,not yet,,Fashion/Clothing,
Tallwave,Jennifer Dorre,2009,is a venture management and venture accelerator firm focused on driving growth for early and growth-stage companies.,Engineering,Computer Science,none,none,"BS, Computer Science",,not yet,,Consulting,
The Danville Group,Patrick Garrehy,2006,provides business development services to technology startups focused on the manufacturing space.,Math & Physical Sciences,Applied Mathematics,none,none,"BS, Business Administration / BA, Mathematics (1973)",1973,not yet,,Consulting,
Thirst Labs,Kunal Modi,2011,is a new mobile app that changes the consumption experience.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2012)",2012,not yet,,Software,
Todoroo,Jon Paris,2008,"provides Astrid, a social to-do list that helps individuals and groups stay organized. ",Math & Physical Sciences,Physics,unknown,unknown,"BA, Physics (1995)",1995,yes,Acquired by Yahoo in 2013,Mobile/Wireless,
Tune Energy,Ariel Sella,2011,is a smart grid analytics company. We aim to make the grid smart.,Engineering,Computer Science,none,none,"BA, Computer Science (1989)",1989,not yet,,Analytics/Big Data,
U Grok It,Carrie Requist,2011,"is smartphone RFID app that lets businesses manage their stuff. Identify, locate, track & inventory all with your smartphone.",Social Sciences,Psychology,none,none,"BA,ÊPsychology (1987)",1987,not yet,,Mobile/Wireless,
U Grok It,Tony Requist,2011,"is smartphone RFID app that lets businesses manage their stuff. Identify, locate, track & inventory all with your smartphone.",Engineering,Computer Science,none,none,"BA, Computer Science (1987)",1987,not yet,,Mobile/Wireless,
UpNext,Danny Moon,2007,"is a NYC based startup developing extremely detailed 3D maps for the mobile devices. UpNext currently maps New York City, Boston, DC, San Francisco, Philly, Chicago, Portland and Austin.",Bio Sciences,Integrative Biology,none,none,"BA, Integrative Biology (2001)",2001,yes,Acquired by Amazon in 2012,Mobile/Wireless,
UpNext,Raj Advani,2007,"is a NYC based startup developing extremely detailed 3D maps for the mobile devices. UpNext currently maps New York City, Boston, DC, San Francisco, Philly, Chicago, Portland and Austin.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2003)",2003,yes,Acquired by Amazon in 2012,Mobile/Wireless,
Veenome,David Geller,2011,"automatically translates videos into data at a very large scale to help Ad Networks and Publishers lift their CPMs through targeting, reduce fraud through viewability detection and eliminate brand safety/objectionable content concerns.",Math & Physical Sciences,Physics,none,none,"AB, Physics",,not yet,,Advertising,
ViKi,Razmig Hovaghimian,2010,"is a global TV site that streams TV shows, movies and other premium content, translated into more than 150 languages by a community of avid fans.",Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies (1999)",1999,yes,Acquired by Rakuten in 2013,Consumer Web,
Virtuata,Joe Epstein,2010,is a stealth-mode startup creating new technology to change the way computers are trusted and secured.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (1998)",1998,not yet,,Security,
Votizen,David Binetti,2009,is a consumer technology company that harnesses social networks to create a connected electorate of voters.,Social Sciences,Political Science,none,none,"BA, Political Science (1992)",1992,yes,Acquired by Causes in 2013,Consumer Web,
Warby Parker,David Gilboa,2010,"was founded with a rebellious spirit and a lofty objective: to create boutique-quality, classically crafted eyewear at a revolutionary price point.",Engineering,Bioengineering,none,none,"BS, Bioengineering (2003)",2003,not yet,,eCommerce,
Watsi,Mark Murrin,2012,"is a global crowdfunding platform for healthcare that enables anyone to directly fund low-cost, high-impact medical care for people in need.",Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies (2007)",2007,not yet,,Health/Fitness,
Whisper,Brad Brookes,2012,is an anonymous social network that connects people through shared experiences.,Social Sciences,History,none,none,"BA, History (1992)",1992,not yet,,Social Networking,
Workspot,Ty Wang,2012,"is a 100% SaaS solution that allows companies to deliver email, business applications, and data onto mobile devices.",Engineering,Mechanical Engineering,none,none,"BS, Mechanical Engineering (1990)",1990,not yet,,Enterprise,
YCharts,Ara Anjargolian,2009,is the financial terminal of the web.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2003)",2003,not yet,,Analytics/Big Data,
